PC1,PC2,KMeans_Cluster,Hierarchical_Cluster,KMeans_Playlist,Hierarchical_Playlist
-0.670003294118846,0.6322846329000209,2,4,High Energy and Mellow,High Energy and Mellow
0.22488302622945522,1.8118188852246948,1,3,High Energy and Positive,High Energy and Positive
1.6353770804445071,1.2847703316078298,1,5,High Energy and Positive,Very High Energy and Positive
-1.621089139853099,2.4292906099815217,4,3,Moderate Energy and Positive,High Energy and Positive
-2.1496949875755336,2.2334678025251793,4,1,Moderate Energy and Positive,Low Energy Tracks
-2.0961681690119636,1.4557686841851407,4,1,Moderate Energy and Positive,Low Energy Tracks
-1.5555619198138355,2.3670508747942542,4,3,Moderate Energy and Positive,High Energy and Positive
1.124710451092099,-0.22275839026357222,2,4,High Energy and Mellow,High Energy and Mellow
0.4000418908285911,1.2154354522279516,1,3,High Energy and Positive,High Energy and Positive
0.09987646942002663,0.8339082123108331,1,3,High Energy and Positive,High Energy and Positive
-1.8708295646075117,1.95706646858234,4,1,Moderate Energy and Positive,Low Energy Tracks
-1.0260187118489847,1.1768421564991856,4,3,Moderate Energy and Positive,High Energy and Positive
0.7589437054490408,1.4023754156093937,2,3,High Energy and Mellow,High Energy and Positive
-0.3714566783074623,2.447336373147555,4,3,Moderate Energy and Positive,High Energy and Positive
0.443324865960818,1.7527772085486444,1,3,High Energy and Positive,High Energy and Positive
-0.30129308316166775,0.8784025003983359,1,3,High Energy and Positive,High Energy and Positive
-2.4518172833611587,1.0950144205363466,4,1,Moderate Energy and Positive,Low Energy Tracks
-1.5319706964190138,1.5771213577650496,4,3,Moderate Energy and Positive,High Energy and Positive
-3.157641978100159,0.9667267670544252,0,1,Low Energy Tracks,Low Energy Tracks
-2.6257820054921512,0.8378769066487338,0,1,Low Energy Tracks,Low Energy Tracks
-0.08113711896712895,1.111942463331002,4,3,Moderate Energy and Positive,High Energy and Positive
-3.440854087024079,0.8683394118367638,0,1,Low Energy Tracks,Low Energy Tracks
-0.8894626396596313,1.6131875828661253,4,3,Moderate Energy and Positive,High Energy and Positive
-0.04551449892200708,0.7852795474785439,2,4,High Energy and Mellow,High Energy and Mellow
-1.106193304428747,2.575140014755537,4,3,Moderate Energy and Positive,High Energy and Positive
-2.259511395686614,1.267247848482528,2,4,High Energy and Mellow,High Energy and Mellow
-0.5099989662650224,1.0663625936219567,4,5,Moderate Energy and Positive,Very High Energy and Positive
-1.114363140490824,2.233443600273158,4,3,Moderate Energy and Positive,High Energy and Positive
0.8862282430352592,-0.381973781378436,2,4,High Energy and Mellow,High Energy and Mellow
-1.7066082261009627,1.9280124450405272,4,3,Moderate Energy and Positive,High Energy and Positive
-1.3431053554267498,1.1883395688873593,4,3,Moderate Energy and Positive,High Energy and Positive
-0.6901563610766369,2.43014949180263,4,3,Moderate Energy and Positive,High Energy and Positive
0.3242871333417088,-0.03424761978589053,1,2,High Energy and Positive,Moderate Energy and Mellow
-2.4263186487429333,0.9785314220546547,0,3,Low Energy Tracks,High Energy and Positive
-1.5959245179524526,1.948889521138676,4,3,Moderate Energy and Positive,High Energy and Positive
0.8717349216337867,1.9435099879446118,1,3,High Energy and Positive,High Energy and Positive
0.055791972637773406,1.3343367859221207,4,3,Moderate Energy and Positive,High Energy and Positive
1.016176110328165,1.2151889656044688,1,3,High Energy and Positive,High Energy and Positive
-1.4398556868243229,2.5318946678253904,4,3,Moderate Energy and Positive,High Energy and Positive
-1.5590650586297536,1.5761898287349827,4,3,Moderate Energy and Positive,High Energy and Positive
-1.667246204962827,1.3435171165049267,2,4,High Energy and Mellow,High Energy and Mellow
-1.2058347379504737,1.5016266741149444,4,3,Moderate Energy and Positive,High Energy and Positive
-0.1963248883623986,0.3474080663590884,1,2,High Energy and Positive,Moderate Energy and Mellow
-0.6591228882448594,3.0182554586981527,4,3,Moderate Energy and Positive,High Energy and Positive
-1.8304687392227872,1.555399448101548,4,3,Moderate Energy and Positive,High Energy and Positive
-0.194531074449653,1.2924704829044786,4,3,Moderate Energy and Positive,High Energy and Positive
-0.6942729087945184,0.7667525331293222,4,3,Moderate Energy and Positive,High Energy and Positive
-1.85554840101911,1.1906976662877797,4,3,Moderate Energy and Positive,High Energy and Positive
-1.4288881193966405,1.8817331754742035,4,3,Moderate Energy and Positive,High Energy and Positive
-1.9114921979008312,2.064377867403338,4,3,Moderate Energy and Positive,High Energy and Positive
0.5287860986297435,2.0102176720610783,4,3,Moderate Energy and Positive,High Energy and Positive
-2.8875383785909507,1.6064333137628735,0,1,Low Energy Tracks,Low Energy Tracks
1.000198273177816,1.2180571367147095,2,4,High Energy and Mellow,High Energy and Mellow
-1.8270838253599586,1.92717840327752,4,1,Moderate Energy and Positive,Low Energy Tracks
-2.8262820575639283,0.686792013635119,0,1,Low Energy Tracks,Low Energy Tracks
-2.2992882100217478,1.600206689749894,4,3,Moderate Energy and Positive,High Energy and Positive
1.025047846998817,0.38556596315040503,1,3,High Energy and Positive,High Energy and Positive
-2.260538905671016,1.4367504098347552,4,1,Moderate Energy and Positive,Low Energy Tracks
-1.61613747336919,1.0904270521218835,2,4,High Energy and Mellow,High Energy and Mellow
-2.120725500494715,1.6794590378164325,4,3,Moderate Energy and Positive,High Energy and Positive
-0.6392331642175847,2.2740342367361843,4,3,Moderate Energy and Positive,High Energy and Positive
-2.0040544810299354,1.5048761069442191,4,3,Moderate Energy and Positive,High Energy and Positive
-1.6458899690722029,1.7856454961257708,4,3,Moderate Energy and Positive,High Energy and Positive
0.10589626067425563,1.3919381612718171,4,3,Moderate Energy and Positive,High Energy and Positive
